Epoch,Training Loss,Validation Loss,Training MAE,Validation MAE,Validation Symmetric MAE,Training RMSE,Validation RMSE,Validation Symmetric RMSE
34,48.820640663606774,45.7370596847357,6.422071335689497,9.115024479458388,5.568043682022209,5.387687312879041,7.93982014290291,7.707130826546302
35,46.80573710796818,42.12933782187111,6.426299747109586,9.116109308323432,5.501101491702129,5.369454342529345,7.947363358755536,7.791215369158344
36,46.27321061218281,43.69825565809479,6.3155631971928585,8.95807801914556,5.7141461330522985,5.520722508615036,8.166340761704527,7.907131292502197
37,45.57132261654142,43.28594805632773,6.364441947139012,9.061231298446057,5.863550542132446,5.71136446182089,8.359959938063566,8.16627848779497
38,46.09007056681336,43.56681976615353,6.415397470796488,9.094068269263513,5.695392914781565,5.469589265725198,8.09617420981956,7.824263065740652
39,45.18283409661377,43.19938372692063,6.246862485893573,8.852295654803706,5.774917242201006,5.574970247422253,8.207908573110577,7.985246237628821
40,44.284352127638414,41.094586954627,6.163695923891275,8.758600324643862,5.244456936416998,5.074622071727623,7.597641886739714,7.376487769513414
41,44.18666610765413,41.721573566451525,6.18484858839128,8.776149179351387,5.333998282005901,5.189927599896657,7.734174310050168,7.540817452011242
42,43.275456073567575,41.809913731890255,6.218906196359798,8.831520812552752,5.594402245150147,5.414536059873793,7.997239460287821,7.762322316053118
43,42.595386187578804,41.091832778309254,6.093829877911117,8.67595761198004,5.6133640476133415,5.489667387798533,8.021689155930876,7.865353553801407
44,42.39798433261436,40.97329499821747,6.129590818619767,8.74627493763387,5.231804770472957,5.063970479850623,7.617513548652724,7.3922336162400875
45,42.20425365408787,40.60182555360388,6.094669188688819,8.67241654452793,5.487612935375584,5.379569206612855,7.819983365768858,7.681409905669216
46,41.95352157618731,39.27391742169507,6.04470106553948,8.625533736759193,5.2411354104638255,5.08741505840227,7.555223958406475,7.3751238734423294
47,40.82810911496546,41.2718293296678,6.005615750254133,8.517980933494664,5.580736632633063,5.42323268020802,7.916564724068315,7.726571629834015
48,40.754638796911536,40.10154284988181,5.976811977175702,8.501758476509497,5.195361393979576,5.008985358121092,7.40678558088366,7.166231066499947
49,40.97605797993247,40.07822601518931,6.069207854129482,8.614797220999513,5.587057493494754,5.4140489462920485,8.050202029140978,7.83992607525108
50,40.587836500229706,38.93683587766292,5.990485157942188,8.526517023698291,5.433342728562342,5.270007264773578,7.8233343679081475,7.611859930183756
51,39.55812879228216,38.89241465891211,5.912480725376784,8.446304797689372,5.015244406401306,4.863167182024754,7.346187824221522,7.168716035302647
52,39.36319527306136,39.304628253014535,5.92803318850965,8.423763853429474,5.165002517798448,5.035903543063295,7.456458001818736,7.284705565118712
53,39.111735111895804,39.04334782953609,5.867055637866606,8.380222506179738,5.545607515301392,5.417706477289686,7.903117427104541,7.746661918443183
54,38.592231089702715,39.06995323275705,5.868315437532289,8.36301881194516,5.101091649141447,4.847544291839158,7.323445884404124,6.993518885609146
55,38.427193969976834,38.83620238621496,5.820764079342984,8.340887406285061,5.272270397154581,4.913823681223913,7.723887343808466,7.234963967301359
56,38.03877305578364,38.08621574312547,5.739690550145787,8.228178957541333,5.2342017057427395,5.118908568671628,7.448733170417209,7.288395284616034
57,38.228941876128914,38.47949211348911,5.800563716252328,8.265284217548684,5.2959399035514085,5.126177739240462,7.7447901444401746,7.542035649909625
58,37.536629447838564,38.842443164396364,5.7778718556676925,8.264612847378952,5.057708772379259,4.902948698872213,7.358142725206907,7.157752038852584
59,37.05475605781154,37.30378558966782,5.684421479602068,8.126506507206937,5.18694241898827,5.091167004150874,7.565681945586886,7.423931553754873
60,36.68209971082004,36.698263298071815,5.700170648078975,8.165367211613985,5.255618480982282,5.102371059660766,7.546065507658815,7.3517681750165345
61,36.50872899101866,37.368561120225564,5.627752620829333,8.058792130414004,5.06769291711575,4.954311066414674,7.387902109244729,7.226992164589148
62,36.64207103480357,37.11054858040125,5.591172551293391,8.027856966149193,5.1799394046518,5.008603020675064,7.535641411999542,7.302280402639056
63,36.595093910410846,37.248114807101416,5.59770443332639,8.075073305845667,5.058598483525241,4.9330978816007,7.35116627540386,7.174115942211014
64,35.96391133881837,36.74841144268916,5.604147759277439,8.028479461861803,5.123999353540167,5.018213041386423,7.372289150272013,7.243148242246939
65,35.50699965267554,36.98148913507981,5.547531914650552,7.952769777415405,5.165838585002238,4.998542046661545,7.3913668172033296,7.166076614559184
66,35.390153013505994,36.390899054963235,5.526859864794483,7.907077549755348,4.9551833932342975,4.7721657961055035,7.234101633254543,7.01620028495005
67,34.98179884979018,37.04319569210742,5.491932055437532,7.875837939396085,4.980235807861488,4.785219820051075,7.18853066154127,6.959188183515709
68,34.97646420513387,35.77713643880446,5.455039108087506,7.856718467547654,4.959039815194262,4.740339498604265,7.202856010404101,6.931362696765485
69,34.75603573331215,36.208259100581735,5.451967990441645,7.825091608478655,4.77600615680427,4.6698866809377355,6.936176104101871,6.7930502925392915
70,34.61736457061687,35.8741577922518,5.396233821992036,7.7415507961032874,4.74378529945243,4.588581268305082,6.987194490218683,6.790520801987381
71,33.7435769684946,35.41489716378346,5.42356804839517,7.813945714955994,4.7291573124095905,4.524372759528782,6.912202322848744,6.646266702768322
72,33.91072071635379,35.399758496644694,5.281233270553749,7.608507086343333,5.16394417265744,5.00863460151296,7.403715884269813,7.19658053437931
73,33.27230759269978,35.489332249940006,5.377546510694194,7.720660322696996,5.0916396739617715,4.898405531603978,7.309345549674962,7.077087412948483
74,33.791316311815045,35.33023134283183,5.429750703926714,7.802661974261683,5.0050364379428345,4.875066070317164,7.225079593822025,7.037125883297623
75,33.23661184199663,35.29629077039423,5.323660360201957,7.644373213102493,4.95463168277451,4.734685051730231,7.243578122901777,6.9704657703069755
76,33.287581643752674,34.8890985447646,5.296947698834025,7.596797718228472,4.851310824786257,4.644500317762275,6.975837016857953,6.72344000291276
77,32.93632182619101,34.43814299643669,5.279928701062583,7.614760427290492,4.730012566792032,4.585143472677564,6.822429116574069,6.638607281930333
78,32.857192136053484,34.51946927687123,5.313496891435257,7.650111666093547,4.6892968365805885,4.361761156077856,6.76083874499603,6.403337462537556
79,32.60389859598613,35.5638803796514,5.2699182956135475,7.594205188121262,4.868256848827989,4.765724040830322,7.102200234096062,6.95378469347126
80,32.74894659794064,35.59512198334749,5.212127419009606,7.499395689492164,4.915561222141467,4.787073392680839,7.038652925829574,6.856684018793232
81,32.19288485517698,36.072180932647306,5.218900945921167,7.503445435024467,4.607800029651778,4.408145538006915,6.66868417199095,6.393325420645897
82,32.06787056711064,34.44482187741206,5.269397405531117,7.5785163449016615,4.760835402076446,4.627512205583578,6.944847770609562,6.781679050047269
83,31.55939417217663,35.13606552733987,5.112795235696869,7.365041018099126,4.6047417459550015,4.464513411163669,6.669308311049823,6.498115646010622
84,31.157997381474026,33.7247380101824,5.159444795538315,7.441216143740355,4.872455617192536,4.746125205427436,7.056163369914995,6.912666380798724
85,31.955931884160567,34.49500379484249,5.251092978059255,7.564980613364912,5.043431787704126,4.896615730239372,7.448605530001193,7.2874025518983
86,31.350364839047725,34.11715225375426,5.140118645666091,7.432575206092309,4.765937138023269,4.594091992948785,6.9193169250319215,6.698126973133144
87,30.844914614561176,34.508785446774525,5.060872148278851,7.331055854622043,4.664472151414948,4.552194855882388,6.71300882823437,6.548372968480837
88,30.4260613544885,33.20990038889106,5.042822922463076,7.3156005246799385,4.591448703516277,4.467168473882402,6.731158767648072,6.557401222305495
89,30.463401824204055,33.572724210665434,5.001116479115299,7.223985093029261,4.720429341827523,4.594978698702792,6.840939424404783,6.669499079481049
90,31.560727552502822,33.06557786903514,4.999044322707574,7.2188997898481055,4.540276791179764,4.40509400825446,6.6652185368863135,6.517710238407121
91,30.326602917103212,34.030392535426564,5.123460506483064,7.35312519472431,4.805004105900169,4.53273811722991,6.918143989379739,6.571242539164476
92,30.257087938960197,32.051919955154425,5.064303369860906,7.2791865193578165,4.561651149011847,4.383174917378207,6.711752611203968,6.512317803356413
93,30.075833886444403,33.25650279924734,5.078457825375803,7.331988355843942,4.447079663024248,4.190266298479409,6.505646126533825,6.211598360841764
94,30.24687498352886,32.76180498899144,5.003664032042568,7.2127742799721535,4.494071077455634,4.3637914289614095,6.576271095507641,6.392004769665071
95,30.103083998013282,34.16491387550836,4.938482302127466,7.116849860661664,4.724539751866097,4.564716260795717,6.755222510222198,6.588439690141672
96,29.89142612930732,33.10499866838001,5.074812284284983,7.306772424620702,4.803006740659027,4.673181004331862,6.93794277654205,6.7481882033062615
97,29.133796124315317,33.85605200708195,4.865325260477927,7.032299123858882,4.575646494974784,4.484750553090491,6.7011316464358455,6.55170751985883
98,29.182938175705775,32.50037677973038,4.902705258150875,7.109715534730558,4.373196661026,4.23551383245719,6.50286457987944,6.352833066192943
99,28.861866243670274,32.34411854884269,4.90954946384264,7.110517975389396,4.745804534016696,4.615776245169932,6.948789530012112,6.776093656523302
100,29.006751170521046,32.959857477041965,4.840114855453579,6.998450136604492,4.460479030596354,4.275060030119523,6.523560154110666,6.292242265455089
101,29.328809023614024,32.400538035276035,4.881499876993548,7.096125529994575,4.325729532716829,4.1825545249111915,6.277079365457053,6.0926689438254344
102,29.011480589831244,32.30261716656494,4.90003520121057,7.103200502841742,4.418077421023673,4.3023264362482685,6.52955862106164,6.369879394768363
103,29.295509460991944,32.0646383732794,4.829587161488174,6.981832944082231,4.382036966840099,4.2496873281603955,6.383695603271199,6.218669158226496
104,28.841382691490352,31.628662981108537,4.808130824396255,6.974244431222887,4.466856453881587,4.260337719700781,6.545796457835473,6.3003385136377075
105,29.124718846857295,31.94125030622034,4.956591154578508,7.146955789667801,4.280091623722338,4.156325327111049,6.2937435407440825,6.1033871545029195
106,28.0978432922141,32.09450132077192,4.873828122130367,7.045225669588906,4.481948540429263,4.268579504694645,6.435218306140439,6.187269867320155
107,28.628667784295462,31.98461840664952,4.884660376153708,7.0713489000065595,4.285343211998548,4.195343537892009,6.288294968900902,6.147315131649819
108,27.497559859788964,31.66853295706839,4.7217840117342,6.854120643565931,4.2449609020686285,4.129815659813503,6.198896191977681,6.046014327410397
109,28.999604932014577,31.051443595404848,4.817037203026355,6.969034884613323,4.592861553696933,4.221466150476316,6.680156663559306,6.292951319716331
110,28.123677197362,31.200710524063076,4.641406539164672,6.751097381609274,4.403518880147173,4.286645920180183,6.512578540800898,6.375797955696264
111,28.313429042684,31.452761432125513,4.84548247353442,6.991017880452457,4.3183462041125775,4.159642364459497,6.36609098930511,6.177485682519088
112,27.57933846365553,31.143925094402352,4.753601256088867,6.8980089013453,4.166080648964902,3.9892572681396645,6.114891669654227,5.902164374009822
